	Dim1	Dim2
C1	0.816	-0.027
C2	0.812	0.421
C3	0.746	0.213
C6	-0.807	-0.217
C10	0.343	0.753
C18	0.405	0.703
C24	0.416	0.728
C36	0.139	0.801
C37	0.25	0.943
C39	0.293	0.842
C40	0.344	0.744
C41	0.454	0.756
C57	0.84	0.151
C63	0.804	0.076
C67	0.437	0.743
C68	0.371	0.756
C69	0.466	0.756
C82	-0.777	-0.248
C88	0.718	0.387
C95	0.729	-0.006
C96	-0.254	0.706
C142	0.166	0.825
C147	0.364	0.813
C170	0.42	-0.766
C172	-0.759	-0.25
C187	0.785	0.055
C188	0.744	-0.109
C192	0.173	0.733
C193	0.339	0.835
C197	0.481	0.717
C199	0.749	-0.013
C223	0.793	-0.002
C226	0.405	0.732
C250	0.164	0.782
C253	0.37	0.755
C258	0.35	0.752
C265	-0.042	0.757
C268	-0.708	-0.005
C293	-0.158	0.915
C303	0.246	0.754
C310	0.329	0.716
C312	-0.76	-0.141
C318	0.434	0.775
C330	0.101	0.718
C339	0.195	0.747
C347	0.417	0.813
C348	0.513	0.71
C377	0.773	-0.432
C387	0.396	0.702
C402	-0.177	0.703
C420	0.82	-0.33
C424	0.396	0.702
C450	0.78	-0.544
C455	-0.704	-0.292
C460	-0.883	-0.051
C496	-0.759	-0.015
C500	0.782	-0.474
C514	0.185	0.794
C529	0.809	0.196
C538	0.094	0.783
C539	0.823	0.296
C549	-0.02	0.763
C557	0.526	0.722
C561	0.756	0.288
C580	0.528	0.737
C592	0.723	0.496
C593	0.701	0.06
C596	0.743	0.262
C605	0.396	0.702
C606	-0.08	0.861
C610	0.475	0.711
C611	0.412	0.785
C612	0.357	0.745
C614	0.409	0.76
C651	-0.001	0.84
C652	0.75	-0.398
C702	0.712	-0.138
C708	0.168	0.732
C711	0.735	0.015
C718	-0.142	0.774
C729	0.818	0.262
C743	0.085	-0.892
C746	0.775	-0.287
C747	0.457	0.717
C777	0.731	0.32
C782	0.744	-0.221
C792	-0.707	0.08
C794	0.776	-0.105
C797	0.84	-0.232
C824	0.01	0.862
C827	0.031	0.734
C831	0.491	0.711
C835	0.753	-0.479
C841	0.711	-0.301
C842	0.81	0.201
C853	0.12	0.704
C904	0.806	0.121
C925	0.912	0.127
C940	-0.72	0.001
C944	0.793	-0.176
C949	-0.76	0.016
C955	0.753	0.349
C956	0.71	-0.532
C972	0.813	0.122
C973	0.823	-0.151
C984	-0.762	0.082
C989	0.781	-0.536
C994	0.503	-0.702
C1007	0.525	-0.83
C1015	0.415	-0.866
C1017	0.427	-0.732
C1019	0.231	-0.798
