"========","========","=====","======","=====","======","=====","=======","======","======","======="
"    Date","    Time"," Temp","SpCond","  TDS","   Sal","   pH","    Orp","ODOsat","   ODO","Battery"
"   m/d/y","hh:mm:ss","    C"," mS/cm","  g/L","   ppt","     ","     mV","     %","  mg/L","  volts"
"--------","--------","-----","------","-----","------","-----","-------","------","------","-------"
07/10/12,18:35:23,22.95,0.164,0.107,0.08,7.47,116.1,95.7,8.21,13.0
07/10/12,18:40:23,22.93,0.164,0.107,0.08,7.30,176.6,95.4,8.19,12.9
07/10/12,18:45:23,22.91,0.164,0.107,0.08,7.29,165.5,95.3,8.19,13.0
07/10/12,18:50:23,22.89,0.164,0.106,0.08,7.27,193.2,95.2,8.18,12.9
07/10/12,18:55:23,22.87,0.164,0.106,0.08,7.26,192.3,94.3,8.11,13.0
07/10/12,19:00:23,22.84,0.164,0.106,0.08,7.24,141.8,95.1,8.18,13.0
07/10/12,19:05:23,22.82,0.163,0.106,0.08,7.27,185.2,95.2,8.19,13.0
07/10/12,19:10:23,22.80,0.163,0.106,0.08,7.28,194.3,95.1,8.19,13.0
07/10/12,19:15:23,22.77,0.163,0.106,0.08,7.29,199.3,94.9,8.18,13.0
07/10/12,19:20:23,22.74,0.163,0.106,0.08,7.30,200.5,94.0,8.10,13.0
07/10/12,19:25:23,22.72,0.163,0.106,0.08,7.29,209.9,94.6,8.16,13.0
07/10/12,19:30:23,22.69,0.163,0.106,0.08,7.30,204.7,94.7,8.17,12.9
07/10/12,19:35:23,22.66,0.163,0.106,0.08,7.32,198.5,94.6,8.17,12.9
07/10/12,19:40:23,22.63,0.163,0.106,0.08,7.31,204.7,94.6,8.17,13.0
07/10/12,19:45:23,22.60,0.163,0.106,0.08,7.31,201.8,93.7,8.10,12.9
07/10/12,19:50:23,22.57,0.163,0.106,0.08,7.31,202.6,94.3,8.15,13.0
07/10/12,19:55:23,22.54,0.163,0.106,0.08,7.31,208.6,94.4,8.16,13.0
07/10/12,20:00:23,22.52,0.163,0.106,0.08,7.32,189.6,94.3,8.16,13.0
07/10/12,20:05:23,22.49,0.163,0.106,0.08,7.33,167.7,94.3,8.16,12.9
07/10/12,20:10:23,22.47,0.163,0.106,0.08,7.32,181.3,93.8,8.13,13.0
07/10/12,20:15:23,22.44,0.163,0.106,0.08,7.31,197.6,94.1,8.16,13.0
07/10/12,20:20:23,22.41,0.163,0.106,0.08,7.31,204.3,93.8,8.14,13.0
07/10/12,20:25:23,22.39,0.163,0.106,0.08,7.31,208.8,94.0,8.15,13.0
07/10/12,20:30:23,22.36,0.163,0.106,0.08,7.33,195.3,93.9,8.15,12.9
07/10/12,20:35:23,22.33,0.163,0.106,0.08,7.32,207.3,93.8,8.14,12.9
07/10/12,20:40:23,22.31,0.163,0.106,0.08,7.31,207.0,93.8,8.15,12.9
07/10/12,20:45:23,22.28,0.163,0.106,0.08,7.32,203.1,92.9,8.08,13.0
07/10/12,20:50:23,22.25,0.163,0.106,0.08,7.32,208.2,93.5,8.13,12.9
07/10/12,20:55:23,22.22,0.163,0.106,0.08,7.32,205.7,93.5,8.14,12.9
07/10/12,21:00:23,22.19,0.163,0.106,0.08,7.31,208.8,93.5,8.14,13.0
07/10/12,21:05:23,22.16,0.163,0.106,0.08,7.31,211.7,93.5,8.15,13.0
07/10/12,21:10:23,22.13,0.162,0.106,0.08,7.32,208.3,93.1,8.12,12.9
07/10/12,21:15:23,22.10,0.162,0.106,0.08,7.32,207.0,93.3,8.14,12.9
07/10/12,21:20:23,22.07,0.162,0.106,0.08,7.32,199.9,92.6,8.08,13.0
07/10/12,21:25:23,22.04,0.162,0.106,0.08,7.32,200.9,93.0,8.12,12.9
07/10/12,21:30:23,22.01,0.162,0.106,0.08,7.32,201.4,93.1,8.13,12.9
07/10/12,21:35:23,21.98,0.162,0.106,0.08,7.33,201.2,92.9,8.12,12.9
07/10/12,21:40:23,21.96,0.162,0.106,0.08,7.34,192.4,93.0,8.13,12.9
07/10/12,21:45:23,21.93,0.162,0.106,0.08,7.34,190.1,92.3,8.07,12.9
07/10/12,21:50:23,21.90,0.162,0.106,0.08,7.34,185.0,92.7,8.12,13.0
07/10/12,21:55:23,21.87,0.162,0.106,0.08,7.35,185.6,92.5,8.11,12.9
07/10/12,22:00:23,21.84,0.162,0.106,0.08,7.37,176.3,92.7,8.12,12.9
07/10/12,22:05:23,21.81,0.162,0.106,0.08,7.37,175.0,92.6,8.12,12.9
07/10/12,22:10:23,21.78,0.162,0.106,0.08,7.37,176.9,92.3,8.11,12.8
07/10/12,22:15:23,21.75,0.162,0.106,0.08,7.38,170.6,92.4,8.12,12.9
07/10/12,22:20:23,21.72,0.162,0.106,0.08,7.39,166.4,91.6,8.05,12.9
07/10/12,22:25:23,21.70,0.162,0.106,0.08,7.40,160.8,92.1,8.10,12.9
07/10/12,22:30:23,21.67,0.162,0.106,0.08,7.41,154.7,92.0,8.09,12.9
07/10/12,22:35:23,21.64,0.162,0.106,0.08,7.42,148.4,92.1,8.11,12.9
07/10/12,22:40:23,21.61,0.162,0.106,0.08,7.43,141.8,92.1,8.11,12.9
07/10/12,22:45:23,21.58,0.162,0.106,0.08,7.44,137.0,91.8,8.09,13.0
07/10/12,22:50:23,21.56,0.162,0.106,0.08,7.45,131.3,91.9,8.10,12.9
07/10/12,22:55:23,21.53,0.162,0.106,0.08,7.46,125.2,91.1,8.04,12.9
