"========","========","=====","======","=====","======","=====","=======","======","======","======="
"    Date","    Time"," Temp","SpCond","  TDS","   Sal","   pH","    Orp","ODOsat","   ODO","Battery"
"   m/d/y","hh:mm:ss","    C"," uS/cm","  g/L","   ppt","     ","     mV","     %","  mg/L","  volts"
"--------","--------","-----","------","-----","------","-----","-------","------","------","-------"
07/10/12,18:55:24,23.20,156,0.101,0.07,5.43,-255.1,93.8,8.01,11.8
07/10/12,19:00:24,23.15,156,0.101,0.07,5.73,-264.7,93.6,8.00,11.8
07/10/12,19:05:24,23.12,156,0.101,0.07,5.83,-270.4,93.5,8.00,11.8
07/10/12,19:10:24,23.08,156,0.101,0.07,5.90,-275.0,93.4,8.00,11.8
07/10/12,19:15:24,23.05,156,0.101,0.07,5.93,-278.4,93.2,7.99,11.8
07/10/12,19:20:24,23.01,156,0.101,0.07,5.96,-281.5,93.2,7.99,11.8
07/10/12,19:25:24,22.97,156,0.101,0.07,5.98,-283.8,93.1,7.99,11.8
07/10/12,19:30:24,22.94,156,0.101,0.07,6.00,-285.8,93.0,7.98,11.8
07/10/12,19:35:24,22.90,156,0.101,0.07,6.01,-287.7,92.9,7.98,11.8
07/10/12,19:40:24,22.87,156,0.101,0.07,6.01,-289.1,92.8,7.98,11.8
07/10/12,19:45:24,22.83,156,0.101,0.07,6.02,-290.6,92.6,7.97,11.8
07/10/12,19:50:24,22.80,156,0.101,0.07,6.02,-291.8,92.5,7.96,11.8
07/10/12,19:55:24,22.77,156,0.101,0.07,6.03,-293.0,92.4,7.96,11.8
07/10/12,20:00:24,22.74,156,0.101,0.07,6.04,-293.8,92.3,7.96,11.8
07/10/12,20:05:24,22.71,156,0.101,0.07,6.04,-293.9,92.3,7.96,11.8
07/10/12,20:10:24,22.68,156,0.101,0.07,6.05,-294.6,92.1,7.95,11.8
07/10/12,20:15:24,22.64,156,0.101,0.07,6.05,-295.5,92.0,7.95,11.8
07/10/12,20:20:24,22.61,156,0.101,0.07,6.06,-296.1,91.9,7.94,11.8
07/10/12,20:25:24,22.58,156,0.101,0.07,6.06,-296.6,91.7,7.93,11.8
07/10/12,20:30:24,22.55,156,0.102,0.07,6.07,-297.4,91.5,7.92,11.8
07/10/12,20:35:24,22.52,156,0.101,0.07,6.08,-298.2,91.4,7.91,11.8
07/10/12,20:40:24,22.49,156,0.102,0.07,6.08,-298.8,91.2,7.90,11.8
07/10/12,20:45:24,22.46,156,0.102,0.07,6.08,-299.2,91.1,7.89,11.8
07/10/12,20:50:24,22.43,156,0.102,0.07,6.08,-299.8,90.9,7.88,11.8
07/10/12,20:55:24,22.40,156,0.102,0.07,6.09,-300.2,90.8,7.87,11.7
07/10/12,21:00:24,22.37,156,0.102,0.07,6.09,-300.8,90.7,7.87,11.8
07/10/12,21:05:24,22.34,156,0.102,0.07,6.09,-301.3,90.6,7.87,11.8
07/10/12,21:10:24,22.30,156,0.102,0.07,6.09,-301.6,90.5,7.87,11.8
07/10/12,21:15:24,22.27,156,0.102,0.07,6.10,-302.1,90.4,7.86,11.7
07/10/12,21:20:24,22.24,156,0.102,0.07,6.10,-302.6,90.3,7.86,11.8
07/10/12,21:25:24,22.21,156,0.102,0.07,6.10,-303.0,90.2,7.86,11.8
07/10/12,21:30:24,22.18,156,0.102,0.07,6.10,-303.3,90.1,7.85,11.8
07/10/12,21:35:24,22.15,156,0.102,0.07,6.11,-304.0,90.1,7.85,11.8
07/10/12,21:40:24,22.12,156,0.102,0.07,6.11,-304.3,89.9,7.84,11.7
07/10/12,21:45:24,22.09,156,0.102,0.07,6.11,-303.9,89.9,7.84,11.8
07/10/12,21:50:24,22.06,156,0.102,0.07,6.11,-303.3,89.8,7.84,11.8
07/10/12,21:55:24,22.03,156,0.102,0.07,6.11,-303.7,89.7,7.83,11.8
07/10/12,22:00:24,22.00,156,0.102,0.07,6.11,-303.8,89.6,7.83,11.8
07/10/12,22:05:24,21.97,156,0.101,0.07,6.11,-304.3,89.5,7.83,11.8
07/10/12,22:10:24,21.94,156,0.101,0.07,6.11,-304.6,89.5,7.83,11.8
07/10/12,22:15:24,21.91,156,0.102,0.07,6.12,-305.2,89.3,7.82,11.7
07/10/12,22:20:24,21.88,156,0.102,0.07,6.12,-305.4,89.3,7.82,11.8
07/10/12,22:25:24,21.85,156,0.101,0.07,6.12,-306.0,89.2,7.82,11.8
07/10/12,22:30:24,21.82,156,0.102,0.07,6.13,-306.0,89.2,7.82,11.7
07/10/12,22:35:24,21.79,156,0.102,0.07,6.19,-305.5,89.1,7.82,11.8
07/10/12,22:40:24,21.76,156,0.101,0.07,6.15,-306.8,89.0,7.81,11.8
07/10/12,22:45:24,21.73,156,0.101,0.07,6.14,-307.4,88.9,7.81,11.8
07/10/12,22:50:24,21.70,156,0.102,0.07,6.14,-308.0,88.8,7.81,11.8
07/10/12,22:55:24,21.67,156,0.101,0.07,6.14,-308.2,88.8,7.81,11.8
07/10/12,23:00:24,21.64,156,0.101,0.07,6.13,-308.5,88.7,7.81,11.8
07/10/12,23:05:24,21.61,156,0.101,0.07,6.13,-308.9,88.6,7.80,11.8
07/10/12,23:10:24,21.58,156,0.101,0.07,6.13,-309.2,88.5,7.80,11.8
07/10/12,23:15:24,21.55,156,0.101,0.07,6.13,-309.7,88.4,7.80,11.8
07/10/12,23:20:24,21.52,156,0.101,0.07,6.13,-309.8,88.3,7.79,11.7
07/10/12,23:25:24,21.49,156,0.101,0.07,6.13,-310.0,88.2,7.79,11.8
07/10/12,23:30:24,21.46,156,0.101,0.07,6.13,-310.5,88.2,7.79,11.7
07/10/12,23:35:24,21.43,156,0.101,0.07,6.13,-310.9,88.1,7.78,11.7
07/10/12,23:40:24,21.40,156,0.101,0.07,6.13,-311.1,88.0,7.78,11.8
