"Cmpd","rt","inferred.mass","inferred.formula","C","H","N","O","P","S","C:N:P","H/C","O/C","N/C","CHO_index","NOSC","DBE","DBE-O","Annotation","Kingdon","Superclass","class","subclass","parent","pubchem.url"
"C1",19.1328292682927,327.9018,"C7H4O9S3",7,4,0,9,0,3,"7:0:0",0.571428571428571,1.28571428571429,0,2,2.85714285714286,6,-3,"C7H4O9S3",NA,NA,NA,NA,NA,NA
"C2",19.3118333333333,129.9573,"C4H2OS2",4,2,0,1,0,2,"4:0:0",0.5,0.25,0,0,1,4,3,"C4H2OS2_1",NA,NA,NA,NA,NA,NA
"C3",223.072533333333,396.1408,"C19H20N6O2S",19,20,6,2,0,1,"19:6:0",1.05263157894737,0.105263157894737,0.315789473684211,-0.842105263157895,0.210526315789474,13,11,"N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_1","Organic compounds","Organoheterocyclic compounds","Azoles","Tetrazoles","Phenyltetrazoles and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/1078044"
"C4",18.4047142857143,771.8175,"C9H9N8O22PS5",9,9,8,22,1,5,"9:8:1",1,2.44444444444444,0.888888888888889,3.88888888888889,7.11111111111111,9.5,-12.5,"C9H9N8O22PS5",NA,NA,NA,NA,NA,NA
"C5",1010.93538461538,191.9351,"C4H2O5P2",4,2,0,5,2,0,"4:0:2",0.5,1.25,0,2,-0.5,4,-1,"C4H2O5P2",NA,NA,NA,NA,NA,NA
"C6",559.961538461538,313.1786,"C15H27N3O2S",15,27,3,2,0,1,"15:3:0",1.8,0.133333333333333,0.2,-1.53333333333333,-0.8,4,2,"5-(dodecylthio)-1H-1,2,3-triazole-4-carboxylic acid","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers","https://pubchem.ncbi.nlm.nih.gov/compound/24180714"
"C7",291.816416666667,220.1092,"C10H20O3S",10,20,0,3,0,1,"10:0:0",2,0.3,0,-1.4,-1.2,1,-2,"9-(methylsulfinyl)nonanoic acid_1",NA,NA,NA,NA,NA,NA
"C8",18.6912727272727,1047.7055,"C10H7N18O20P3S8",10,7,18,20,3,8,"10:18:3",0.7,2,1.8,3.3,8.8,16.5,-3.5,"C10H7N18O20P3S8",NA,NA,NA,NA,NA,NA
"C9",18.1569090909091,365.9665,"C9H18O3S6",9,18,0,3,0,6,"9:0:0",2,0.333333333333333,0,-1.33333333333333,0,1,-2,"C9H18O3S6",NA,NA,NA,NA,NA,NA
"C10",200.864272727273,252.0994,"C12H16N2O2S",12,16,2,2,0,1,"12:2:0",1.33333333333333,0.166666666666667,0.166666666666667,-1,-0.333333333333333,6,4,"cyclohexanecarboxylic acid [1-(2-thiazolyl)ethylideneamino] ester","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","Thiazoles","https://pubchem.ncbi.nlm.nih.gov/compound/3830711"
